mpi_proc,omp_threads,milliseconds (mean),milliseconds (std),speedup,mpi_efficiency,omp_efficiency
0,0,67.9692,0.6323882984369644,1.0,inf,inf
1,1,69.90090000000001,0.6767060425325025,0.9723651626803087,0.9723651626803087,0.9723651626803087
1,2,47.8648,0.8645503733155183,1.4200247363406928,1.4200247363406928,0.7100123681703464
1,3,39.85696,1.9205495199030915,1.7053282538357164,1.7053282538357164,0.5684427512785721
1,4,36.75466,1.64515515329102,1.849267548659136,1.849267548659136,0.462316887164784
1,5,61.98592000000001,1.1282653985654278,1.0965264369714927,1.0965264369714927,0.21930528739429853
2,1,36.62071999999999,0.5231401089574382,1.8560312304072673,0.9280156152036336,1.8560312304072673
2,2,29.61146,2.4981163980887673,2.2953680770890728,1.1476840385445364,1.1476840385445364
2,3,254.4324,28.048476276617944,0.267140505690313,0.1335702528451565,0.08904683523010433
2,4,656.64,16.02731970106045,0.10351059941520468,0.05175529970760234,0.02587764985380117
3,1,27.95358,0.7968670564153096,2.4315025123794523,0.8105008374598174,2.4315025123794523
3,2,346.6194,14.414036958465182,0.1960917363540529,0.06536391211801763,0.09804586817702644
3,3,787.8272,5.226253089929725,0.0862742489723635,0.02875808299078783,0.02875808299078783
4,1,22.588160000000002,1.4248862643734068,3.009063155210517,0.7522657888026293,3.009063155210517
4,2,907.7389999999999,110.5866024923453,0.07487747028606241,0.018719367571515603,0.037438735143031206
